Date,Pokeball,Great Ball,Potion,Super Potion,Hyper Potion,Razz Berry,Revive
7/13/2016,0,,2,1,,,
7/13/2016,3,,1,,,,
7/13/2016,3,,,,,,
7/13/2016,2,,0,1,,,
7/13/2016,3,,,,,,
7/13/2016,1,,1,,,1,
7/13/2016,4,,,1,,,
7/13/2016,2,,,,,1,1
7/13/2016,2,,1,,,,
7/13/2016,2,,,1,,1,
7/13/2016,3,,,,,,
7/13/2016,1,1,,,,,1
7/13/2016,1,,,,,,1
7/13/2016,1,1,,,,1,
7/13/2016,1,1,1,,,,
7/13/2016,3,,,,,,
7/13/2016,3,,,,,,
7/13/2016,2,1,,,,,1
7/13/2016,2,1,,,,,
7/13/2016,2,,,,,,1
7/13/2016,1,2,,,,,
7/13/2016,2,1,,,,,
7/13/2016,1,2,1,,,,
7/13/2016,,,1,1,,1,
7/13/2016,,,0,,,,
7/13/2016,1,1,,,,1,
7/13/2016,2,1,,,,,
7/13/2016,2,1,,,,,
7/13/2016,2,,,,,,1
7/13/2016,1,2,,,,,
7/13/2016,1,1,,,,1,
7/13/2016,2,1,,,,,
7/13/2016,3,,,,,,
7/13/2016,3,,,,,,
7/13/2016,3,,,,,,
7/13/2016,2,1,,,,,
7/13/2016,2,1,1,,,2,
7/13/2016,1,,,,,1,1
7/13/2016,2,,1,,,1,
7/13/2016,3,,1,,,,
7/13/2016,2,1,,,,,
7/13/2016,3,,,,,,
7/13/2016,3,,,,,,
7/13/2016,4,,,,,,
7/13/2016,1,,1,,,,
7/13/2016,1,1,,1,,,
7/13/2016,3,,,,,,
7/13/2016,2,1,,,,,
7/13/2016,2,,,,,,
7/13/2016,4,,,,,,
7/13/2016,1,1,,,,1,
7/13/2016,1,,1,,,1,
7/13/2016,1,1,,,,,1
7/13/2016,3,,,,,,
7/13/2016,1,,1,,,1,
7/13/2016,3,,,,,,
7/14/2016,1,1,2,,,,2
7/14/2016,3,,,,,,
7/14/2016,2,,,,,,1
7/14/2016,4,,,,,,
7/14/2016,2,,,,,,1
7/14/2016,5,1,,,,,
7/14/2016,2,,,1,,,
7/14/2016,,2,1,,,,
7/14/2016,2,,,,,,1
7/14/2016,2,,,,,1,
7/14/2016,2,1,,,,,
7/14/2016,,1,,,,1,1
7/14/2016,,,1,2,,,
7/14/2016,4,,,,,,
7/14/2016,1,,,1,,,1
7/14/2016,1,,,,,1,1
7/14/2016,1,,2,,,,1
7/14/2016,1,,,1,,,1
7/14/2016,2,,,1,,,1
7/14/2016,1,1,1,,,,1
7/14/2016,2,,1,,,,
7/14/2016,2,,,,,1,
7/14/2016,2,1,,,,,
7/14/2016,2,,,1,,,
7/14/2016,4,1,,1,,,
7/14/2016,1,,1,1,,,
7/14/2016,2,,1,,,,
7/14/2016,,1,,,,,2
7/14/2016,2,,,1,,,
7/14/2016,3,,,,,,
7/14/2016,3,,,,,,
7/14/2016,2,1,,,,,
7/14/2016,2,,1,,,,
7/14/2016,3,,,,,,
7/14/2016,1,1,1,,,,
7/14/2016,2,,,,,1,
7/15/2016,3,,,,,1,
7/15/2016,2,1,,,,,
7/15/2016,2,,1,,,,
7/15/2016,,2,,,,1,
7/15/2016,2,,1,,,,
7/15/2016,2,1,,,,,
7/15/2016,4,2,,,,1,
7/15/2016,1,1,,,,1,
7/15/2016,2,,,,,,1
7/15/2016,1,1,1,,,,
7/15/2016,1,1,,,,1,
7/15/2016,1,,,,,1,1
7/15/2016,3,,,,,,
7/15/2016,2,,1,,,,
7/15/2016,3,,,,,,
7/15/2016,2,1,,,,,
7/15/2016,2,1,,,,,
7/15/2016,3,,,,,,
7/15/2016,1,1,,,,1,
7/15/2016,1,2,1,,,1,
7/15/2016,3,,,,,,
7/15/2016,2,,1,,,,
7/15/2016,3,,,,,,1
7/15/2016,3,,,,,,
7/15/2016,2,,1,,,,
7/15/2016,2,,1,,,,
7/15/2016,2,,,,1,1,
7/15/2016,,1,1,,,1,
7/15/2016,1,1,,,,,1
7/15/2016,2,1,1,,,,
7/15/2016,2,,,,,1,
7/15/2016,3,,,,,,
7/15/2016,3,,,,,,
7/15/2016,3,,,,,1,
7/15/2016,1,1,,,,,1
7/15/2016,2,,,,,1,
7/15/2016,2,,,,,1,
7/15/2016,1,,1,,,1,
7/15/2016,2,1,,,,,
7/15/2016,1,,,,,1,1
7/15/2016,2,1,,,,,
7/15/2016,4,,,,,,
7/15/2016,1,1,,,,1,
7/15/2016,2,,1,,,,
7/15/2016,2,,1,,,,
7/16/2016,1,,1,1,,,
7/16/2016,3,,,,,,
7/16/2016,2,1,,,,,
7/16/2016,2,,,,,1,
7/16/2016,1,,1,,,,1
7/16/2016,2,,,1,,,
7/16/2016,1,,,1,,1,
7/16/2016,2,,1,,,,
7/16/2016,1,1,,,,,1
7/16/2016,2,,,,,,2
7/16/2016,,1,,,,1,1
7/16/2016,3,1,,,,,
7/16/2016,2,,,1,,,
7/16/2016,1,2,,,,,
7/16/2016,3,,,,,,
7/16/2016,3,,,,,,
7/16/2016,1,,,,,2,
7/16/2016,2,,1,,,1,
7/16/2016,3,,,,,,
7/16/2016,3,,1,,,,
7/16/2016,2,,,1,,,
7/16/2016,3,,,,,,
7/16/2016,2,1,,,,,
7/18/2016,1,,1,1,,,
7/18/2016,2,2,,,,1,
7/18/2016,2,,1,,,,
7/18/2016,3,,,,,,
7/18/2016,3,,,,,,
7/18/2016,1,,1,,,1,
7/18/2016,2,,,1,1,,
7/18/2016,2,,,,1,,
7/18/2016,2,,,,,,1
7/18/2016,4,,,,,1,1
7/18/2016,3,,,,,,
7/18/2016,1,1,1,,,,1
7/18/2016,3,,,,,,
7/18/2016,2,1,,,,,
7/18/2016,1,1,1,,,,
7/18/2016,3,1,,,,,
7/18/2016,2,,,,,1,1
7/18/2016,2,,,,,1,
