Date,Pokemon,CP
7/12/16,Krabby,104
7/12/16,Drowzee ,229
7/12/16,Weedle,89
7/12/16,Jynx,72
7/12/16,Oddish,278
7/12/16,Seel,212
7/12/16,Drowzee ,186
7/12/16,Rattata,111
7/12/16,Drowzee ,270
7/12/16,NidoranF,91
7/12/16,Jynx,362
7/12/16,Krabby,159
7/12/16,Pidgey,171
7/13/16,Krabby,144
7/13/16,Kakuna,113
7/13/16,Spearow,43
7/13/16,Zubat,151
7/13/16,Hypno,91
7/13/16,Squirtle,11
7/13/16,Oddish,262
7/13/16,Krabby,91
7/13/16,Pidgey,137
7/13/16,Caterpie,41
7/13/16,Drowzee ,163
7/13/16,Jynx,372
7/13/16,Goldeen,152
7/13/16,Pidgey,133
7/13/16,Gastly,10
7/13/16,Magnemite,224
7/13/16,Gastly,176
7/13/16,Zubat,145
7/13/16,Rattata,93
7/13/16,Zubat,121
7/13/16,Drowzee ,101
7/13/16,Zubat,27
7/13/16,Drowzee ,329
7/13/16,Slowpoke,227
7/13/16,Jynx,550
7/13/16,Pidgey,86
7/13/16,Drowzee ,155
7/13/16,Drowzee ,41
7/13/16,Rattata,49
7/13/16,Voltorb,253
7/13/16,Drowzee ,71
7/13/16,Squirtle,200
7/13/16,Jigglypuff,201
7/13/16,Goldeen,12
7/13/16,Pidgey,24
7/13/16,Drowzee ,160
7/13/16,Drowzee ,102
7/13/16,Rattata,117
7/13/16,Pidgey,58
7/13/16,Rattata,125
7/13/16,Spearow,10
7/13/16,NidoranM,92
7/13/16,Drowzee ,302
7/13/16,Drowzee ,339
7/13/16,Magikarp,19
7/13/16,Rattata,161
7/13/16,Caterpie,46
7/13/16,Pidgey,10
7/13/16,Pidgey,130
7/13/16,Pidgey,120
7/13/16,Rattata,94
7/13/16,Rattata,136
7/13/16,Magnemite,239
7/13/16,Spearow,62
7/13/16,Pidgeot,684
7/13/16,Paras,186
7/13/16,Pidgey,123
7/14/16,Rattata,10
7/14/16,Drowzee ,161
7/14/16,Paras,165
7/14/16,Pidgey,173
7/14/16,Eevee,423
7/14/16,Squirtle,112
7/14/16,Paras,306
7/14/16,Snorlax,878
7/14/16,Oddish,330
7/14/16,Horsea,77
7/14/16,Rattata,50
7/14/16,Pidgey,137
7/14/16,Drowzee ,377
7/14/16,Rattata,149
7/14/16,Weedle,42
7/14/16,Zubat,122
7/14/16,Drowzee ,13
7/14/16,Drowzee ,108
7/14/16,Spearow,235
7/14/16,Spearow,118
7/14/16,Eevee,144
7/14/16,Weedle,55
7/14/16,Rattata,100
7/14/16,Eevee,322
7/14/16,Drowzee ,100
7/14/16,Rattata,138
7/14/16,Krabby,219
7/14/16,Rattata,111
7/14/16,Rattata,116
7/14/16,Shelder,247
7/14/16,Pidgey,145
7/14/16,Drowzee ,248
7/14/16,Caterpie,56
7/14/16,Rattata,20
7/14/16,Pidgey,10
7/14/16,Raticate,19
7/14/16,NidoranF,10
7/14/16,Spearow,154
7/14/16,Pidgey,126
7/14/16,Drowzee ,46
7/14/16,Pidgey,57
7/14/16,Spearow,139
7/14/16,Gastly,169
7/14/16,Gastly,151
7/14/16,Zubat,108
7/14/16,Zubat,247
7/14/16,Gastly,159
7/14/16,Drowzee ,361
7/15/16,Pidgey,96
7/15/16,Pidgeotto,214
7/15/16,Caterpie,31
7/15/16,Pidgey,121
7/15/16,Meowth,215
7/15/16,Spearow,42
7/15/16,Zubat,95
7/15/16,Rattata,69
7/15/16,Zubat,92
7/15/16,Pidgey,218
7/15/16,Spearow,181
7/15/16,Spearow,10
7/15/16,Jynx,22
7/15/16,Drowzee ,337
7/15/16,Drowzee ,125
7/15/16,Rattata,170
7/15/16,Drowzee ,243
7/15/16,Pidgeotto,47
7/15/16,Rattata,121
7/15/16,Rattata,52
7/15/16,Venonat,103
7/15/16,Eevee,195
7/15/16,Venonat,309
7/15/16,Pidgey,196
7/15/16,Rattata,93
7/15/16,Magikarp,109
7/15/16,Gastly,262
7/15/16,Hypno,537
7/15/16,Gastly,219
7/15/16,Krabby,227
7/15/16,Psyduck,336
7/15/16,Caterpie,76
7/15/16,Pidgey,110
7/15/16,Drowzee ,424
7/15/16,Oddish,301
7/15/16,Raticate,581
7/15/16,Drowzee ,70
7/15/16,Pidgey,61
7/16/16,Jynx,215
7/16/16,Drowzee ,43
7/16/16,Rattata,154
7/16/16,Pidgey,211
7/16/16,Caterpie,10
7/16/16,Beedrill,353
7/16/16,Squirtle,387
7/16/16,Rattata,37
7/16/16,Pidgey,155
7/16/16,Rattata,53
7/16/16,Rattata,38
7/16/16,Rattata,83
7/16/16,Pidgey,158
7/16/16,Spearow,64
7/16/16,Spearow,10
7/16/16,Rattata,69
7/16/16,Paras,415
7/16/16,Pidgey,129
